"csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"inact","dp12","non","ai75","fem","non","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","fai","fai","for"
"emplo","d48","non","ai45","fem","non","non","oui","p1","nul","nul","non","nul","non","fai","fai","nul","fai","fai","nul","nul"
"emplo","dm2","non","ai35","fem","non","oui","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","dp12","oui","ai55","fem","non","non","non","p2","nul","fai","non","nul","non","fai","nul","nul","fai","fai","moy","fai"
"emplo","d812","non","ai45","fem","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","moy","fai","nul"
"cadsu","d48","non","ai75","hom","oui","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"inact","d48","oui","ai45","fem","non","oui","non","p2","for","nul","non","nul","non","moy","fai","nul","moy","fai","fai","nul"
"emplo","dp12","non","ai45","fem","non","non","non","p2","for","nul","non","nul","oui","fai","moy","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai45","fem","non","oui","non","n1","nul","nul","non","fai","non","fai","moy","nul","nul","fai","nul","nul"
"emplo","d48","non","ai55","fem","non","non","non","p2","nul","nul","non","fai","non","fai","fai","nul","nul","fai","fai","nul"
"emplo","dp12","oui","ai45","fem","non","non","non","p2","nul","nul","non","fai","non","fai","nul","nul","moy","fai","moy","nul"
"inact","d812","non","ai75","fem","non","oui","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","fai","moy","nul"
"inact","d48","non","ai25","fem","oui","non","oui","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai75","fem","non","non","non","p2","for","fai","non","nul","non","fai","nul","nul","nul","nul","fai","moy"
"inact","d812","non","ai75","fem","non","oui","non","p2","nul","fai","non","fai","non","fai","nul","nul","nul","nul","fai","nul"
"emplo","d48","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","oui","fai","nul","nul","fai","for","moy","nul"
"inact","d812","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","fai","nul","nul","nul"
"artis","d48","non","ai55","fem","non","oui","non","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"retra","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","moy","moy"
"retra","dp12","non","ai75","fem","non","oui","non","n1","fai","fai","non","nul","non","fai","fai","nul","nul","fai","fai","moy"
"inact","d812","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","for","nul"
"inact","dm2","non","ai55","fem","non","non","non","p4","nul","fai","non","nul","non","fai","nul","nul","nul","nul","moy","for"
"emplo","d48","non","ai25","fem","non","non","non","p2","fai","fai","non","nul","non","fai","fai","nul","nul","for","for","fai"
"emplo","dp12","non","ai45","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d48","oui","ai55","fem","non","oui","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","moy"
"inter","dp12","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","nul","nul","moy","nul"
"inact","dm2","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai35","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d812","non","ai55","fem","oui","non","non","n2","for","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"inact","dp12","non","ai45","fem","non","oui","oui","n1","fai","fai","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"inact","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","for","oui","fai","for","nul","nul","for","moy","fai"
"ouvri","d812","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dp12","non","ai75","hom","non","oui","oui","p4","nul","nul","non","nul","non","moy","fai","nul","nul","for","for","for"
"cadsu","dm2","non","ai45","hom","non","oui","non","p4","nul","nul","oui","nul","non","for","nul","nul","nul","fai","for","fai"
"ouvri","d24","non","ai45","hom","non","non","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","dm2","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"cadsu","d24","non","ai45","hom","non","oui","non","n2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"cadsu","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"retra","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d48","oui","ai35","hom","non","oui","non","p2","for","nul","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"inter","d812","non","ai55","hom","non","non","non","p4","nul","for","non","nul","non","moy","for","nul","nul","fai","nul","for"
"ouvri","d24","non","ai35","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","fai","nul","nul","nul"
"artis","dm2","non","ai55","hom","non","non","non","p3","nul","fai","non","nul","non","for","nul","nul","nul","moy","for","nul"
"etudi","d48","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"ouvri","dm2","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"artis","d24","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"retra","d48","oui","ai75","hom","non","non","non","p2","for","fai","non","nul","non","fai","nul","fai","nul","for","for","nul"
"ouvri","d812","non","ai35","hom","non","oui","non","n2","nul","nul","oui","nul","oui","fai","moy","nul","moy","for","for","nul"
"emplo","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"inter","d48","oui","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","moy","nul","fai","moy","nul"
"inter","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","moy","nul","nul","nul","nul"
"cadsu","d812","non","ai35","hom","non","oui","non","p2","fai","fai","oui","for","non","fai","moy","nul","nul","moy","for","nul"
"cadsu","dp12","non","ai55","hom","non","non","non","n2","nul","nul","non","nul","non","fai","for","nul","nul","for","for","for"
"emplo","d24","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"etudi","d24","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"artis","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"artis","d48","non","ai55","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"ouvri","dp12","non","ai45","hom","non","oui","oui","p2","nul","nul","non","nul","non","fai","moy","fai","moy","fai","for","nul"
"emplo","d48","non","ai35","hom","non","oui","oui","p4","nul","nul","non","nul","non","fai","fai","nul","moy","fai","for","moy"
"cadsu","d48","non","ai55","hom","non","oui","non","p1","nul","fai","non","for","oui","fai","nul","nul","fai","for","fai","moy"
"inact","d48","non","ai35","hom","non","oui","non","p2","fai","fai","non","nul","non","fai","for","nul","nul","nul","fai","nul"
"ouvri","d48","non","ai45","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"inact","dm2","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai25","hom","non","oui","non","p1","nul","fai","non","nul","non","fai","fai","nul","nul","fai","fai","nul"
"retra","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"cadsu","dm2","non","ai45","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"etudi","d24","non","ai25","hom","non","oui","non","p4","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"ouvri","dm2","non","ai45","hom","non","non","non","p4","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"artis","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"ouvri","d48","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","fai"
"ouvri","dp12","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"ouvri","d48","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","fai","nul","nul","moy","for","nul"
"inter","d24","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"ouvri","d48","non","ai55","hom","non","non","non","p1","nul","fai","non","nul","non","moy","nul","nul","nul","nul","fai","nul"
"ouvri","d48","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"ouvri","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d48","oui","ai55","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dm2","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"etudi","dm2","non","ai25","hom","non","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","fai","nul"
"emplo","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","fai","fai","fai","nul"
"artis","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"cadsu","d48","non","ai55","hom","non","oui","oui","p2","nul","nul","non","nul","non","fai","fai","nul","nul","fai","moy","nul"
"ouvri","d48","non","ai35","hom","non","non","oui","p3","nul","nul","non","fai","non","for","fai","moy","nul","fai","moy","nul"
"ouvri","d24","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","fai","nul"
"etudi","d24","non","ai25","hom","non","oui","non","p4","nul","nul","non","nul","non","fai","fai","nul","nul","nul","for","nul"
"emplo","d48","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dm2","non","ai35","hom","non","non","non","n2","nul","nul","non","for","non","fai","moy","nul","nul","fai","fai","nul"
"retra","dm2","non","ai75","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"etudi","d24","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","moy","nul","fai","nul"
"inact","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","for","nul"
"cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","for","for","nul"
"ouvri","d812","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","nul","nul"
"inact","dm2","non","ai75","hom","non","non","non","p4","nul","nul","oui","nul","non","fai","fai","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai55","hom","non","non","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"ouvri","d812","non","ai35","hom","non","oui","non","n1","nul","nul","non","nul","oui","fai","nul","fai","moy","moy","moy","nul"
"cadsu","d48","non","ai45","hom","non","non","non","p1","for","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"etudi","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"etudi","d48","oui","ai25","hom","non","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","fai","nul"
"etudi","d48","non","ai25","hom","non","oui","non","p1","nul","fai","non","nul","oui","fai","fai","nul","nul","nul","nul","fai"
"inter","dp12","oui","ai55","hom","non","non","oui","p2","nul","nul","non","nul","non","fai","fai","fai","nul","fai","for","nul"
"retra","dp12","non","ai75","hom","non","non","non","p4","for","for","non","nul","non","fai","fai","nul","nul","fai","for","for"
"artis","dp12","non","ai75","hom","non","oui","oui","n1","for","fai","oui","nul","non","moy","fai","nul","moy","fai","for","nul"
"emplo","dm2","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d812","oui","ai55","hom","non","oui","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"cadsu","dm2","non","ai45","hom","non","non","non","p4","nul","nul","non","for","non","fai","for","nul","nul","nul","nul","nul"
"agric","d48","non","ai35","hom","oui","oui","oui","n2","nul","nul","non","for","oui","fai","nul","nul","nul","nul","nul","nul"
"artis","dm2","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d812","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d24","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d48","non","ai55","hom","non","oui","non","p4","for","fai","non","nul","non","fai","fai","nul","nul","nul","for","nul"
"ouvri","d812","non","ai55","hom","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"ouvri","dm2","non","ai35","hom","oui","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"agric","dm2","non","ai45","hom","non","non","non","n2","nul","fai","non","for","oui","fai","nul","nul","fai","nul","nul","nul"
"ouvri","d24","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"retra","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d24","non","ai75","hom","non","non","non","n1","nul","nul","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"inter","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"cadsu","d24","non","ai45","hom","non","oui","non","p3","for","nul","non","nul","non","fai","nul","nul","nul","for","for","nul"
"agric","d24","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"cadsu","d24","oui","ai75","hom","non","non","non","n2","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","fai"
"etudi","d48","non","ai25","hom","non","oui","non","p1","nul","fai","non","for","non","fai","nul","nul","nul","fai","fai","nul"
"artis","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"inter","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d24","non","ai55","hom","oui","non","non","p4","nul","nul","non","nul","non","for","fai","nul","nul","nul","nul","fai"
"artis","d48","non","ai45","hom","non","oui","oui","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai55","hom","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai35","hom","non","oui","non","n2","nul","nul","non","for","non","fai","nul","nul","nul","fai","nul","nul"
"emplo","d48","non","ai45","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","moy","nul"
"ouvri","d24","non","ai25","hom","oui","non","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","dm2","non","ai35","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","nul","for","nul"
"artis","d48","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","oui","fai","for","nul","nul","nul","for","nul"
"ouvri","dm2","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"inter","dm2","non","ai45","hom","non","non","non","n2","nul","nul","non","for","non","moy","fai","nul","nul","for","for","nul"
"cadsu","d48","non","ai55","hom","non","non","non","p1","fai","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"inter","d48","non","ai45","hom","non","oui","non","p4","nul","fai","non","nul","non","fai","for","nul","moy","fai","for","nul"
"ouvri","d812","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","moy","moy","nul","moy","fai","fai","nul"
"ouvri","d812","non","ai75","hom","non","non","oui","n1","nul","fai","non","nul","non","fai","nul","nul","nul","fai","moy","nul"
"inter","dp12","oui","ai45","hom","non","oui","oui","p3","fai","fai","non","nul","non","fai","fai","moy","nul","fai","for","nul"
"cadsu","d48","non","ai45","hom","non","non","oui","n2","nul","fai","non","fai","non","moy","nul","moy","moy","fai","for","nul"
"agric","d24","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","oui","fai","moy","nul","nul","fai","fai","nul"
"ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","moy","fai","fai","nul"
"emplo","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","moy","moy","nul","nul","fai","nul","nul"
"ouvri","d24","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d24","non","ai45","hom","non","oui","oui","p1","nul","for","non","nul","non","for","fai","nul","nul","fai","for","fai"
"emplo","d48","non","ai45","hom","non","non","oui","p4","nul","fai","non","nul","non","moy","nul","fai","fai","fai","for","nul"
"inact","d24","non","ai75","hom","non","oui","non","p4","nul","nul","non","nul","non","fai","fai","nul","nul","fai","for","for"
"inter","dm2","non","ai45","hom","non","oui","non","p2","nul","nul","oui","for","non","fai","fai","nul","nul","nul","for","nul"
"ouvri","d48","non","ai35","hom","non","oui","non","p4","nul","fai","non","nul","non","fai","nul","nul","nul","fai","for","nul"
"ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d812","non","ai55","hom","non","oui","oui","p1","fai","fai","oui","nul","oui","fai","fai","nul","nul","moy","moy","moy"
"inter","dp12","non","ai55","hom","non","oui","oui","p1","nul","nul","oui","for","non","fai","nul","nul","moy","nul","for","fai"
"ouvri","dm2","non","ai55","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"cadsu","dm2","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","d812","non","ai45","hom","non","oui","oui","p3","for","fai","non","fai","non","fai","nul","nul","nul","moy","for","moy"
"ouvri","dp12","non","ai55","hom","non","oui","non","p3","for","nul","non","nul","non","fai","moy","nul","nul","moy","fai","fai"
"inter","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","dm2","non","ai45","hom","non","non","non","p2","nul","nul","non","nul","non","for","for","moy","nul","fai","nul","nul"
"emplo","d812","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","for","nul","for"
"ouvri","d24","non","ai45","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","moy","fai","fai","nul"
"emplo","d48","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","fai","fai","nul"
"cadsu","d24","non","ai45","hom","oui","non","non","p2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d24","non","ai55","hom","non","non","non","n2","nul","nul","non","fai","non","fai","fai","fai","moy","nul","nul","nul"
"ouvri","d24","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"ouvri","d24","non","ai25","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"emplo","d48","non","ai45","hom","non","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d48","non","ai35","hom","non","non","non","p3","nul","nul","oui","nul","non","fai","fai","nul","moy","fai","moy","nul"
"inter","d24","non","ai35","hom","non","non","non","n2","nul","nul","non","nul","oui","fai","nul","fai","nul","nul","nul","nul"
"inter","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"etudi","dm2","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d812","non","ai45","hom","non","non","non","n2","nul","fai","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"ouvri","d48","oui","ai45","hom","non","non","non","p4","nul","for","non","nul","non","moy","fai","nul","nul","nul","moy","fai"
"ouvri","d48","oui","ai35","hom","non","oui","non","p2","for","fai","non","fai","non","fai","fai","nul","fai","for","moy","nul"
"ouvri","d48","oui","ai45","hom","non","non","oui","n1","fai","nul","non","nul","non","fai","fai","nul","nul","fai","for","fai"
"ouvri","d48","oui","ai35","hom","non","non","non","p2","nul","nul","oui","nul","non","moy","moy","fai","nul","fai","moy","nul"
"cadsu","d48","non","ai45","hom","non","non","non","p2","nul","nul","non","for","non","fai","moy","nul","nul","fai","nul","fai"
"ouvri","dp12","non","ai35","hom","non","non","non","p4","for","fai","non","nul","non","moy","nul","fai","moy","fai","for","nul"
"ouvri","d48","non","ai45","hom","non","non","oui","p4","fai","fai","non","nul","non","moy","fai","nul","nul","for","for","nul"
"retra","dp12","non","ai75","hom","non","non","oui","p2","nul","nul","non","nul","non","moy","nul","nul","nul","moy","for","nul"
"inter","d48","oui","ai35","hom","non","oui","non","n1","nul","nul","non","for","non","fai","fai","nul","nul","fai","for","nul"
"emplo","dp12","non","ai55","hom","non","non","non","p2","nul","fai","non","nul","non","fai","nul","nul","fai","fai","fai","nul"
"ouvri","d48","non","ai45","hom","non","oui","non","p4","nul","nul","non","nul","oui","fai","fai","nul","nul","for","for","nul"
"inter","d48","non","ai45","hom","non","non","oui","p2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","moy","nul"
"cadsu","d24","non","ai45","hom","oui","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"ouvri","dp12","non","ai45","hom","non","non","oui","p2","nul","fai","non","nul","non","fai","nul","nul","fai","moy","for","nul"
"cadsu","d24","non","ai55","hom","non","oui","non","p4","for","fai","non","nul","non","fai","moy","nul","nul","fai","moy","moy"
"ouvri","d48","non","ai45","hom","non","non","non","p2","nul","nul","oui","nul","non","fai","moy","fai","moy","fai","fai","nul"
"inact","d48","non","ai75","hom","non","oui","oui","p3","for","nul","non","nul","non","fai","moy","nul","nul","nul","fai","nul"
"cadsu","dm2","non","ai55","hom","non","non","non","p2","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"emplo","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"retra","d48","non","ai75","hom","non","non","oui","n1","nul","for","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"inact","d48","non","ai75","hom","non","non","non","p1","for","fai","non","nul","non","fai","nul","nul","nul","fai","fai","for"
"ouvri","d48","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","for","fai","nul","moy","fai","for","nul"
"artis","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"artis","d812","non","ai55","hom","non","non","non","p1","nul","nul","oui","nul","oui","fai","fai","nul","fai","fai","fai","nul"
"retra","d48","non","ai75","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d812","non","ai35","hom","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","nul","fai","moy","nul"
"retra","d812","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai35","hom","non","oui","non","n2","nul","nul","non","fai","non","fai","for","nul","fai","fai","fai","nul"
"ouvri","d24","non","ai35","hom","non","non","non","n1","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"emplo","dp12","non","ai55","hom","non","non","non","n1","nul","nul","oui","fai","non","fai","nul","nul","nul","nul","fai","nul"
"ouvri","d24","non","ai45","hom","oui","non","non","p1","nul","nul","non","nul","non","for","fai","nul","nul","nul","fai","nul"
"retra","dp12","non","ai75","hom","non","non","oui","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"ouvri","d48","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","for","nul","nul","nul","nul","fai","nul"
"retra","d48","non","ai75","hom","non","non","oui","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"emplo","d24","non","ai25","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"agric","d24","non","ai35","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dm2","non","ai75","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"cadsu","d48","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","moy","nul","nul","nul","nul","nul"
"ouvri","d48","oui","ai45","hom","non","non","oui","n2","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"ouvri","d48","non","ai45","hom","non","oui","oui","p4","for","nul","non","nul","non","moy","for","nul","nul","fai","moy","nul"
